"","year","prd_PCR","res_PCR","prd_PCR_LOOCV","res_PCR_LOOCV","obs","y90_PCR","y70_PCR","y30_PCR","y10_PCR","Ymod_PCR_1","Ymod_PCR_2","Ymod_PCR_3"
"20",2005,300.050853325749,-253.609146674251,291.086680504071,-262.573319495929,553.66,127.609303901402,229.567723919853,370.533982731644,472.492402750096,0.0928432569731324,0.668645600167449,0.999999805767669
"21",2006,698.031308391777,-171.578691608223,660.459806350023,-209.150193649977,869.61,525.58975896743,627.548178985882,768.514437797672,870.472857816124,2.35554010341481e-05,0.010447055870093,0.990056061993354
"22",2007,76.6880970142353,13.7880970142353,77.6049368977005,14.7049368977005,62.9,-95.7534524101117,6.20496760833993,147.171226420131,249.129646438582,0.603979647476409,0.978478148783619,0.99999999998646
"23",2008,529.0724491486,199.6224491486,548.150905562565,218.700905562565,329.45,356.630899724253,458.589319742705,599.555578554496,701.513998572947,0.000609136966187909,0.0701139669600892,0.999220326920661
"24",2009,297.164836830839,71.9648368308394,299.697795646492,74.4977956464919,225.2,124.723287406492,226.681707424944,367.647966236735,469.606386255186,0.0826498141755946,0.645112328883028,0.999999728565518
"25",2010,311.531378819894,54.511378819894,313.498184367921,56.4781843679215,257.02,139.089829395547,241.048249413999,382.014508225789,483.972928244241,0.0681037139492422,0.606250679051779,0.99999953973748
"26",2011,715.896116260983,-257.763883739017,654.625035155947,-319.034964844053,973.66,543.454566836636,645.412986855087,786.379245666878,888.33766568533,2.83501541917309e-05,0.0117099544080553,0.991149992719817
"27",2012,130.871753739472,48.1817537394718,133.314335516603,50.6243355166027,82.69,-41.5697956848752,60.3886243335764,201.354883145367,303.313303163819,0.440183279857322,0.946204898480867,0.999999999791421
"28",2013,115.266665536331,76.9766655363313,119.474747749601,81.1847477496005,38.29,-57.1748838880157,44.7835361304359,185.749794942227,287.708214960678,0.481011348614855,0.956552460568488,0.999999999892592
"29",2014,107.840313516205,58.7703135162046,111.173700477874,62.1037004778744,49.07,-64.6012359081424,37.3571841103093,178.3234429221,280.281862940552,0.505624044189702,0.961945423724278,0.999999999928222
"30",2015,36.9276532864717,-18.5923467135283,35.4059701775293,-20.1140298224707,55.52,-135.513896137875,-33.5554761194237,107.410782692367,209.369202710819,0.718160536897947,0.990280663036512,0.999999999998475
