"","year","obs","res_PCR","res_PCQR","res_PCANN","res_PCRF","res_PCMCQRNN","res_PCSVM","res_ensemble","res_PCR_LOOCV","res_PCQR_LOOCV","res_PCANN_LOOCV","res_PCRF_LOOCV","res_PCMCQRNN_LOOCV","res_PCSVM_LOOCV","res_ensemble_LOOCV"
"11",1996,363.54,152.798799303617,66.4841666609182,110.116049924378,-8.65861533333322,133.411700891987,0.0680273394369237,58.7342907056172,166.466158595537,97.2308521492367,122.719530907619,-15.0821876666667,133.81247076293,37.453719167839,69.7258832929302
"12",1997,377.41,35.5358732883764,-5.6843418860808e-14,-2.91376498239816,-27.8851503333332,62.1080267407746,0.040756839876849,7.83746706623003,37.4035950705502,39.0009340014374,-2.65910709103031,-55.0516730000003,61.927797720355,38.2252461040887,10.6105659333533
"13",1998,628.74,-235.520854928191,-277.239036187112,-285.223653149238,-141.893285000001,-259.962801520025,-257.81147180132,-236.222802867646,-246.804622118337,-277.239036187112,-319.420291698244,-245.955711333333,-271.109615275994,-277.60010192186,-278.521430057358
"14",1999,358.57,-7.24310872496159,-30.7071673569239,-28.7710598384517,11.097198666667,-41.70261612024,-0.109409521322277,-14.8714717033367,-7.53558110574585,-30.7071673569239,-34.1540311207898,75.8671413333338,-42.4628766705766,-14.9344784478716,-3.92106122647607
"15",2000,146.01,177.38099511263,130.26876844875,118.058381463953,100.952709333333,154.601729936655,154.606355311887,132.054794011457,183.957545143071,156.096313172364,132.2901995782,169.623009666667,163.1736242481,155.919771146613,155.251651159895
"16",2001,114.65,-50.041244535846,-52.2565504260992,-32.3446300577186,-27.634883,-77.6198401908331,-88.265927253832,-56.4663201255959,-53.5845852605959,-52.2565504260992,-36.0527459876249,-55.4584753333334,-78.6106316014815,-93.4633125007664,-65.8962913558016
"17",2002,249.26,170.957062649732,89.5303855457838,103.970148473745,73.8903379999998,130.018008613293,0.0109929381609106,76.9723720062997,180.266620250158,119.913927179876,123.496827182341,125.221752333334,130.633821117648,-5.0227389536889,93.5824154199084
"18",2003,109.91,-64.4009502549139,-58.1559829128699,-45.1628468420966,-17.4081186666665,-76.6332717301354,-66.0541392492754,-51.3145941220435,-69.4402053233559,-58.1559829128699,-49.5083988717754,-31.3267196666666,-81.3330637828505,-69.843653017542,-58.0029588347086
"19",2004,152.01,94.5374353409828,86.1989612406572,78.0162132048104,34.1361539999997,45.3105729582347,-0.139552744763478,39.3308468545703,97.8346878137554,86.1989612406572,84.5608621358932,68.8809873333336,45.4764454512056,-49.1994993239151,37.4296988991293
"20",2005,553.66,-253.609146674251,-327.267891437458,-339.656688148,-125.639890333332,-310.50714786789,-211.090959561843,-246.723671477766,-262.573319495929,-327.267891437458,-357.789473243911,-266.149215,-315.184930210084,-224.613038395192,-290.934164212297
"21",2006,869.61,-171.578691608223,-313.587201017857,-138.130819255108,-24.2021503333365,-154.992223044792,0.0222232183078859,-79.3257423537323,-209.150193649977,-313.587201017857,-182.419172313953,-145.502975000003,-277.430058672317,45.4564428657492,-139.973940780131
"22",2007,62.9,13.7880970142353,58.9442464465274,48.4183061786263,-0.366555999999981,-15.0631145323948,0.0752534811169667,8.26597228183713,14.7049368977005,58.9442464465274,51.7633168066092,-1.1016553333333,-15.4244600907155,14.0267467037527,12.3159870215783
"23",2008,329.45,199.6224491486,81.6757533808419,139.4105097707,16.6733506666667,155.997327267354,0.00365020380752412,78.0212094771322,218.700905562565,113.23433600573,168.535478023374,32.2476450000006,187.633001185348,12.7033618466631,100.279871513846
"24",2009,225.2,71.9648368308394,35.6430429367365,16.0584635559352,29.6090366666664,70.2068550795295,39.1786738917585,38.7632572984724,74.4977956464919,51.4686725779737,17.9114688726036,49.2511966666664,70.3742330134211,61.831739255793,49.8421594521211
"25",2010,257.02,54.511378819894,0,9.85998530077779,6.4732113333331,9.31287422555903,3.14573597780424,7.19795170936851,56.4781843679215,29.3085422990041,11.0156982877269,18.1584026666661,9.320872590438,4.75742259021899,10.8130990337625
"26",2011,973.66,-257.763883739017,-344.570962285342,-34.6115290348512,-127.419750333336,-328.324759196735,0.091428166154401,-122.566152599692,-319.034964844053,-367.727924043063,-139.182306671312,-280.821300666673,-401.777245201917,-113.034045330254,-233.703724467539
"27",2012,82.69,48.1817537394718,79.5499294021656,70.1707017841751,23.9550949999998,11.8969688916843,27.8570593602629,33.4699562590305,50.6243355166027,79.5499294021656,74.2489209154723,47.2206796666665,11.8885041011642,43.6974663313593,44.2638927536656
"28",2013,38.29,76.9766655363313,113.169275357294,97.4017449741989,24.6309263333335,32.93066353136,34.716369298138,47.4199260342576,81.1847477496005,113.169275357294,103.269741560256,54.4045113333333,33.1604142026203,44.3388627788865,58.7933824687739
"29",2014,49.07,58.7703135162046,70.4971194233295,65.5118380539372,6.79327966666673,19.4079212032992,28.5646432376337,30.0694205403842,62.1037004778744,70.4971194233295,69.1971128921882,13.40217,21.0937959008349,29.3871162093408,33.270048750591
"30",2015,55.52,-18.5923467135283,-7.105427357601e-15,22.3600597724225,4.53296799999996,-55.52,-12.2056360899521,-10.2081520793824,-20.1140298224707,18.8031508997869,24.3581350306617,9.50224099999996,-55.52,-22.0199898479443,-10.9199034543206
